iter	Passed	Remaining
656	29268	15280
657	29316	15237
658	29363	15194
659	29410	15151
660	29458	15107
661	29506	15065
662	29552	15021
663	29598	14977
664	29644	14933
665	29691	14890
666	29739	14847
667	29785	14803
668	29832	14760
669	29879	14716
670	29927	14673
671	29974	14630
672	30020	14586
673	30066	14542
674	30112	14498
675	30158	14454
676	30204	14410
677	30249	14366
678	30296	14322
679	30343	14279
680	30389	14235
681	30436	14191
682	30482	14147
683	30530	14104
684	30578	14061
685	30623	14017
686	30669	13973
687	30715	13929
688	30762	13885
689	30813	13843
690	30863	13801
691	30914	13759
692	30963	13716
693	31016	13675
694	31065	13633
695	31114	13590
696	31163	13547
697	31213	13504
698	31265	13463
699	31314	13420
700	31364	13377
701	31411	13334
702	31457	13290
703	31504	13246
704	31551	13202
705	31598	13158
706	31646	13115
707	31696	13072
708	31745	13029
709	31791	12985
710	31841	12942
711	31891	12900
712	31940	12856
713	31988	12813
714	32035	12769
715	32080	12724
716	32127	12680
717	32173	12636
718	32221	12592
719	32270	12549
720	32317	12505
721	32365	12462
722	32439	12428
723	32519	12396
724	32595	12363
725	32668	12329
726	32718	12286
727	32767	12242
728	32816	12199
729	32862	12154
730	32908	12110
731	32955	12065
732	33005	12022
733	33051	11977
734	33099	11933
735	33146	11889
736	33192	11844
737	33239	11800
738	33286	11756
739	33334	11711
740	33382	11668
741	33430	11624
742	33479	11580
743	33527	11536
744	33574	11492
745	33622	11447
746	33669	11403
747	33715	11358
748	33762	11314
749	33808	11269
750	33856	11225
751	33903	11180
752	33950	11136
753	34000	11092
754	34048	11048
755	34094	11004
756	34142	10959
757	34189	10915
758	34237	10871
759	34284	10826
760	34331	10782
761	34334	10723
762	34382	10679
763	34432	10636
764	34479	10591
765	34527	10547
766	34572	10502
767	34619	10457
768	34665	10413
769	34712	10368
770	34759	10324
771	34807	10279
772	34855	10235
773	34902	10191
774	34949	10146
775	35002	10103
776	35060	10062
777	35119	10021
778	35182	9981
779	35231	9937
780	35279	9892
781	35326	9847
782	35372	9803
783	35420	9758
784	35466	9713
785	35513	9669
786	35560	9624
787	35607	9579
788	35655	9535
789	35703	9490
790	35750	9446
791	35798	9401
792	35844	9356
793	35891	9311
794	35937	9266
795	35985	9222
796	36032	9177
797	36080	9133
798	36127	9088
799	36174	9043
800	36222	8999
801	36269	8954
802	36315	8909
803	36362	8864
804	36411	8820
805	36458	8775
806	36506	8730
807	36552	8685
808	36599	8640
809	36647	8596
810	36692	8551
811	36740	8506
812	36788	8461
813	36836	8417
814	36882	8372
815	36929	8327
816	36975	8282
817	37021	8236
818	37068	8192
819	37116	8147
820	37163	8102
821	37210	8057
822	37257	8012
823	37304	7967
824	37351	7923
825	37400	7878
826	37449	7834
827	37496	7789
828	37541	7743
829	37589	7698
830	37637	7654
831	37683	7609
832	37732	7564
833	37778	7519
834	37827	7474
835	37874	7429
836	37920	7384
837	37967	7339
838	38014	7294
839	38061	7249
840	38108	7204
841	38155	7159
842	38202	7114
843	38250	7069
844	38297	7024
845	38344	6979
846	38391	6934
847	38438	6889
848	38485	6844
849	38533	6800
850	38578	6754
851	38624	6709
852	38671	6664
853	38717	6619
854	38764	6574
855	38810	6528
856	38855	6483
857	38901	6438
858	38949	6393
859	38997	6348
860	39044	6303
861	39090	6258
862	39137	6213
863	39185	6168
864	39232	6123
865	39280	6078
866	39326	6032
867	39374	5987
